index,smiles,status,error,target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling
0,CN1CC[C@H]2[C@@H](CCCN2c2ccnc(F)c2)C1,ok,,CN1CC[C@H]2[C@@H](CCCN2c2ccnc(F)c2)C1,12.154607057571411,1.4647891521453857,4,329,6,25,101,12,0.9976287063411217,True,1,2,2,"CN1CC[C@@H]2NCCC[C@H]2C1, Fc1cc(Br)ccn1",,zinc;zinc,{'uspto': 328},"{'expansion_calls': 237, 'reactants_generations': 1090, 'iterations': 100}"
1,CN1CC[C@H]2[C@@H](CCCN2c2ccc(F)cn2)C1,ok,,CN1CC[C@H]2[C@@H](CCCN2c2ccc(F)cn2)C1,18.730334997177124,0.23310613632202148,2,446,6,24,165,15,0.9976287063411217,True,1,2,2,"CN1CC[C@@H]2NCCC[C@H]2C1, Fc1ccc(Cl)nc1",,zinc;zinc,{'uspto': 445},"{'expansion_calls': 298, 'reactants_generations': 1846, 'iterations': 100}"
2,O=C1CCN(C(=O)C2=NN3CCCN=C3N2)CC1,ok,,O=C1CCN(C(=O)C2=NN3CCCN=C3N2)CC1,20.75347900390625,0.07346296310424805,1,332,6,16,91,15,0.9976287063411217,True,1,2,2,"O=C(O)C1=NN2CCCN=C2N1, O=C1CCNCC1",,zinc;zinc,{'uspto': 331},"{'expansion_calls': 244, 'reactants_generations': 1565, 'iterations': 100}"
3,CN1CC[C@H]2[C@@H](CCCN2c2ncccc2F)C1,ok,,CN1CC[C@H]2[C@@H](CCCN2c2ncccc2F)C1,16.968642234802246,0.2339463233947754,2,405,6,23,131,5,0.9976287063411217,True,1,2,2,"CN1CC[C@@H]2NCCC[C@H]2C1, Fc1cccnc1Cl",,zinc;zinc,{'uspto': 404},"{'expansion_calls': 290, 'reactants_generations': 1667, 'iterations': 100}"
4,CN1CC[C@H]2[C@@H](CCCN2c2ccc(Cl)nc2)C1,ok,,CN1CC[C@H]2[C@@H](CCCN2c2ccc(Cl)nc2)C1,13.43339204788208,0.24537420272827148,2,330,6,24,109,13,0.9976287063411217,True,1,2,2,"CN1CC[C@@H]2NCCC[C@H]2C1, Clc1ccc(I)cn1",,zinc;zinc,{'uspto': 329},"{'expansion_calls': 236, 'reactants_generations': 1395, 'iterations': 100}"
5,O=C(C1=NN2CCCN=C2N1)N1CCCCCC1,ok,,O=C(C1=NN2CCCN=C2N1)N1CCCCCC1,12.511821985244751,0.016327857971191406,1,144,6,8,43,22,0.9976287063411217,True,1,2,2,"C1CCCNCC1, O=C(O)C1=NN2CCCN=C2N1",,zinc;zinc,{'uspto': 143},"{'expansion_calls': 104, 'reactants_generations': 949, 'iterations': 100}"
6,C[C@@]1(O)CCCN(c2cccc([N+](=O)[O-])c2)CC1,ok,,C[C@@]1(O)CCCN(c2cccc([N+](=O)[O-])c2)CC1,8.94880723953247,0.01483607292175293,1,98,6,10,45,7,0.9976287063411217,True,1,2,2,"C[C@@]1(O)CCCNCC1, O=[N+]([O-])c1cccc(F)c1",,zinc;zinc,{'uspto': 97},"{'expansion_calls': 59, 'reactants_generations': 908, 'iterations': 100}"
7,C[C@]1(O)CCCN(c2cccc([N+](=O)[O-])c2)CC1,ok,,C[C@]1(O)CCCN(c2cccc([N+](=O)[O-])c2)CC1,14.657778024673462,0.035189151763916016,1,120,6,10,55,11,0.9976287063411217,True,1,2,2,"C[C@]1(O)CCCNCC1, O=[N+]([O-])c1cccc(F)c1",,zinc;zinc,{'uspto': 119},"{'expansion_calls': 81, 'reactants_generations': 1559, 'iterations': 100}"
8,N#Cc1cccc(Nc2cc(C=O)ccc2F)n1,ok,,N#Cc1cccc(Nc2cc(C=O)ccc2F)n1,24.896579027175903,0.012505054473876953,1,259,6,26,95,26,0.9976287063411217,True,1,1,1,N#Cc1cccc(Nc2cc(CO)ccc2F)n1,,zinc,{'uspto': 258},"{'expansion_calls': 199, 'reactants_generations': 2846, 'iterations': 100}"
9,C[C@@H]1C[C@@H](C)CN(c2cc([N+](=O)[O-])ccc2Cl)C1,ok,,C[C@@H]1C[C@@H](C)CN(c2cc([N+](=O)[O-])ccc2Cl)C1,22.931389093399048,0.015258073806762695,1,203,6,10,70,9,0.9976287063411217,True,1,2,2,"C[C@H]1CNC[C@H](C)C1, O=[N+]([O-])c1ccc(Cl)c(F)c1",,zinc;zinc,{'uspto': 202},"{'expansion_calls': 160, 'reactants_generations': 2604, 'iterations': 100}"
