scaffold,count
c1ccc(-c2ccccc2)cc1,11
c1ccc(N2CCCCCC2)cc1,7
c1ccc(-c2cccnc2)cc1,4
O=C(C1=NN2CCCN=C2N1)c1ccccc1,4
c1ccc(N2CCc3ccccc32)cc1,3
O=C(Nn1ccnn1)c1ccccc1,3
c1ccc(-c2ccccn2)cc1,3
O=C(C1=NN2CCCN=C2N1)c1cccnc1,3
c1ccc(-c2ccncc2)cc1,3
O=C(CN1CCCCC1)c1ccccc1,3
c1cc(N2CCCCCC2)c2ccncc2c1,2
O=c1ccncn1-c1ccccc1,2
c1ccc(N2CCCCC2)cc1,2
c1ccc(N2CCC[C@H]3CNCC[C@@H]32)nc1,2
c1cncc(N2CCC[C@H]3CNCC[C@@H]32)c1,2
c1ccc2c(N3CCCCC3)ccnc2c1,2
c1cncc(N2CCCCCC2)c1,2
c1ccccc1,2
c1ccc(Nc2ccccn2)cc1,1
c1ccc2oc(N3CCCCCCC3)cc2c1,1
c1cncc(N2CCCCCCC2)c1,1
c1cncc(N2CCCCC2)c1,1
c1cnc2c(N3CCCOCC3)nccc2c1,1
c1ccc(N2CCC3(CCNC3)CC2)nc1,1
c1ccc2c(c1)CCN2c1ccncc1,1
c1ccc(-c2cc3cccnc3s2)cc1,1
c1ccc2c(c1)CCN(c1ccncc1)CC2,1
c1ccc(N2CCCCCC2)nc1,1
c1ccc(N2CCCCCCC2)cc1,1
c1ccc(N2CCCCCCC2)nc1,1
c1ccc(N2CCC[C@H]3CNCC[C@@H]32)cc1,1
c1ccc(-c2cc3ccncc3s2)cc1,1
,1
c1cc2cc(N3CCCCCCC3)ncn2c1,1
O=C(Nn1ccnn1)c1ccccn1,1
C1CCNCC1,1
O=C(C1=NN2CCCN=C2N1)N1CCCCCC1,1
O=C(C1=NN2CCCN=C2N1)N1CCCCCCC1,1
O=C(C1=NN2CCCN=C2N1)c1ccccn1,1
O=C(C1=NN2CCCN=C2N1)c1ccncc1,1
O=C(CC(=O)c1ccccn1)Nn1ccnn1,1
O=C(CN1CCCCCCC1)N1CC[CH]CCC1,1
O=C(CN1CC[CH]CCC1)c1ccncc1,1
O=C(Cc1ccccn1)c1ccccc1,1
O=C(Nn1ccnn1)c1cc2ccccc2o1,1
O=C(Nn1ccnn1)c1cccnc1,1
c1cc2c(cc1N1CCCCCC1)CNCC2,1
O=C1CCN(C(=O)C2=NN3CCCN=C3N2)CC1,1
O=C1CN(C(=O)C2=NN3CCCN=C3N2)CCN1,1
O=C1N[C@H]2CN(c3ccccc3)CC[C@@H]2CO1,1
O=C1N[C@H]2CN(c3ccccn3)CC[C@@H]2CO1,1
O=c1[nH]cc(N2CCCCCCC2)c(=O)[nH]1,1
O=c1ccn(Nc2ccccn2)cc1,1
O=c1ccncn1N1CCc2ccccc21,1
O=c1ccncn1Nc1ccccc1,1
c1cc(N2CCC[C@H]3CNCC[C@@H]32)ccn1,1
C1CCCN(CCCN2CCCCCCC2)CCC1,1
c1cc(N2C[C@H]3CCNC[C@H]3C2)ccn1,1
