scaffold,n_molecules,mean_reward,max_reward,min_reward,std_reward
c1cc(N2CCC[C@H]3CNCC[C@@H]32)ccn1,1,2.230236053466797,2.230236053466797,2.230236053466797,
c1ccc(N2CCC[C@H]3CNCC[C@@H]32)nc1,2,2.226243734359741,2.228116989135742,2.2243704795837402,0.0026491823100007555
O=C1CCN(C(=O)C2=NN3CCCN=C3N2)CC1,1,2.2256762981414795,2.2256762981414795,2.2256762981414795,
O=C(C1=NN2CCCN=C2N1)N1CCCCCC1,1,2.2168936729431152,2.2168936729431152,2.2168936729431152,
c1ccc(Nc2ccccn2)cc1,1,2.2139501571655273,2.2139501571655273,2.2139501571655273,
c1ccc(N2CCC[C@H]3CNCC[C@@H]32)cc1,1,2.212874412536621,2.212874412536621,2.212874412536621,
c1ccc(N2CCCCCCC2)cc1,1,2.2128031253814697,2.2128031253814697,2.2128031253814697,
O=C(CN1CC[CH]CCC1)c1ccncc1,1,2.2121477127075195,2.2121477127075195,2.2121477127075195,
c1cncc(N2CCCCCCC2)c1,1,2.211362838745117,2.211362838745117,2.211362838745117,
c1cncc(N2CCCCCC2)c1,2,2.2099305391311646,2.210235118865967,2.2096259593963623,0.000430740791781337
O=C(Nn1ccnn1)c1cccnc1,1,2.2070088386535645,2.2070088386535645,2.2070088386535645,
c1cncc(N2CCC[C@H]3CNCC[C@@H]32)c1,2,2.2067229747772217,2.2216153144836426,2.191830635070801,0.021060948788287792
c1ccc(N2CCCCCC2)cc1,7,2.205908400671823,2.2145819664001465,2.1942989826202393,0.007009735012939196
c1cc(N2CCCCCC2)c2ccncc2c1,2,2.2043856382369995,2.2049944400787354,2.2037768363952637,0.0008609758213805433
O=C(C1=NN2CCCN=C2N1)c1ccncc1,1,2.203937530517578,2.203937530517578,2.203937530517578,
O=C(CC(=O)c1ccccn1)Nn1ccnn1,1,2.202615737915039,2.202615737915039,2.202615737915039,
